year,geography,age_group,sex,raw_education_column,value,age_harmonization_status,category_label_status
2002,新北市,55~59歲,女,itemvalue4,63274.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2002,新北市,60~64歲,計,itemvalue4,107405.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2002,新北市,60~64歲,男,itemvalue4,51479.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2002,新北市,60~64歲,女,itemvalue4,55926.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2002,新北市,65歲以上,計,itemvalue4,238358.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2002,新北市,65歲以上,男,itemvalue4,125909.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2002,新北市,65歲以上,女,itemvalue4,112449.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,15歲以上總人口,計,itemvalue4,2956084.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,15歲以上總人口,男,itemvalue4,1475416.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,15歲以上總人口,女,itemvalue4,1480668.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,15~19歲,計,itemvalue4,278603.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2003,新北市,15~19歲,男,itemvalue4,143432.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2003,新北市,15~19歲,女,itemvalue4,135171.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2003,新北市,20~24歲,計,itemvalue4,340752.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,20~24歲,男,itemvalue4,174991.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,20~24歲,女,itemvalue4,165761.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,25~29歲,計,itemvalue4,325596.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,25~29歲,男,itemvalue4,165378.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,25~29歲,女,itemvalue4,160218.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,30~34歲,計,itemvalue4,310234.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,30~34歲,男,itemvalue4,155508.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,30~34歲,女,itemvalue4,154726.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2003,新北市,35~39歲,計,itemvalue4,322313.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2003,新北市,35~39歲,男,itemvalue4,156880.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2003,新北市,35~39歲,女,itemvalue4,165433.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2003,新北市,40~44歲,計,itemvalue4,332719.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,40~44歲,男,itemvalue4,161247.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,40~44歲,女,itemvalue4,171472.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,45~49歲,計,itemvalue4,305160.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,45~49歲,男,itemvalue4,147771.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,45~49歲,女,itemvalue4,157389.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,50~54歲,計,itemvalue4,247908.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,50~54歲,男,itemvalue4,121314.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,50~54歲,女,itemvalue4,126594.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,55~59歲,計,itemvalue4,135005.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,55~59歲,男,itemvalue4,66700.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,55~59歲,女,itemvalue4,68305.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,60~64歲,計,itemvalue4,112436.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,60~64歲,男,itemvalue4,54201.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,60~64歲,女,itemvalue4,58235.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,65歲以上,計,itemvalue4,245358.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,65歲以上,男,itemvalue4,127994.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2003,新北市,65歲以上,女,itemvalue4,117364.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2004,新北市,15歲以上總人口,計,itemvalue4,3003037.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2004,新北市,15歲以上總人口,男,itemvalue4,1496867.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2004,新北市,15歲以上總人口,女,itemvalue4,1506170.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2004,新北市,15~19歲,計,itemvalue4,270832.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2004,新北市,15~19歲,男,itemvalue4,139512.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2004,新北市,15~19歲,女,itemvalue4,131320.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2004,新北市,20~24歲,計,itemvalue4,332673.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,20~24歲,男,itemvalue4,171053.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,20~24歲,女,itemvalue4,161620.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,25~29歲,計,itemvalue4,339261.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,25~29歲,男,itemvalue4,172294.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,25~29歲,女,itemvalue4,166967.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,30~34歲,計,itemvalue4,309290.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,30~34歲,男,itemvalue4,155472.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,30~34歲,女,itemvalue4,153818.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2004,新北市,35~39歲,計,itemvalue4,319834.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
