period,roc_year,year,month,area,sex,age,population,age_scope
109年 3月,109,2020,3.0,區域別總計,男,0,85616,single age
109年 3月,109,2020,3.0,區域別總計,女,0,79682,single age
109年 3月,109,2020,3.0,新北市,性別總計,0,26642,single age
109年 3月,109,2020,3.0,新北市,男,0,13769,single age
109年 3月,109,2020,3.0,新北市,女,0,12873,single age
109年 3月,109,2020,3.0,臺北市,性別總計,0,19715,single age
109年 3月,109,2020,3.0,臺北市,男,0,10194,single age
109年 3月,109,2020,3.0,臺北市,女,0,9521,single age
109年 3月,109,2020,3.0,桃園市,性別總計,0,20984,single age
109年 3月,109,2020,3.0,桃園市,男,0,10880,single age
109年 3月,109,2020,3.0,桃園市,女,0,10104,single age
109年 3月,109,2020,3.0,臺中市,性別總計,0,20290,single age
109年 3月,109,2020,3.0,臺中市,男,0,10512,single age
109年 3月,109,2020,3.0,臺中市,女,0,9778,single age
109年 3月,109,2020,3.0,臺南市,性別總計,0,11192,single age
109年 3月,109,2020,3.0,臺南市,男,0,5803,single age
109年 3月,109,2020,3.0,臺南市,女,0,5389,single age
109年 3月,109,2020,3.0,高雄市,性別總計,0,18320,single age
109年 3月,109,2020,3.0,高雄市,男,0,9461,single age
109年 3月,109,2020,3.0,高雄市,女,0,8859,single age
109年 3月,109,2020,3.0,宜蘭縣,性別總計,0,2848,single age
109年 3月,109,2020,3.0,宜蘭縣,男,0,1450,single age
109年 3月,109,2020,3.0,宜蘭縣,女,0,1398,single age
109年 3月,109,2020,3.0,新竹縣,性別總計,0,4365,single age
109年 3月,109,2020,3.0,新竹縣,男,0,2278,single age
109年 3月,109,2020,3.0,新竹縣,女,0,2087,single age
109年 3月,109,2020,3.0,苗栗縣,性別總計,0,2830,single age
109年 3月,109,2020,3.0,苗栗縣,男,0,1503,single age
109年 3月,109,2020,3.0,苗栗縣,女,0,1327,single age
109年 3月,109,2020,3.0,彰化縣,性別總計,0,10942,single age
109年 3月,109,2020,3.0,彰化縣,男,0,5636,single age
109年 3月,109,2020,3.0,彰化縣,女,0,5306,single age
109年 3月,109,2020,3.0,南投縣,性別總計,0,2946,single age
109年 3月,109,2020,3.0,南投縣,男,0,1523,single age
109年 3月,109,2020,3.0,南投縣,女,0,1423,single age
109年 3月,109,2020,3.0,雲林縣,性別總計,0,4035,single age
109年 3月,109,2020,3.0,雲林縣,男,0,2107,single age
109年 3月,109,2020,3.0,雲林縣,女,0,1928,single age
109年 3月,109,2020,3.0,嘉義縣,性別總計,0,2703,single age
109年 3月,109,2020,3.0,嘉義縣,男,0,1383,single age
109年 3月,109,2020,3.0,嘉義縣,女,0,1320,single age
109年 3月,109,2020,3.0,屏東縣,性別總計,0,4521,single age
109年 3月,109,2020,3.0,屏東縣,男,0,2346,single age
109年 3月,109,2020,3.0,屏東縣,女,0,2175,single age
109年 3月,109,2020,3.0,臺東縣,性別總計,0,1393,single age
109年 3月,109,2020,3.0,臺東縣,男,0,745,single age
109年 3月,109,2020,3.0,臺東縣,女,0,648,single age
109年 3月,109,2020,3.0,花蓮縣,性別總計,0,2204,single age
109年 3月,109,2020,3.0,花蓮縣,男,0,1166,single age
109年 3月,109,2020,3.0,花蓮縣,女,0,1038,single age
109年 3月,109,2020,3.0,澎湖縣,性別總計,0,921,single age
109年 3月,109,2020,3.0,澎湖縣,男,0,456,single age
109年 3月,109,2020,3.0,澎湖縣,女,0,465,single age
109年 3月,109,2020,3.0,基隆市,性別總計,0,1908,single age
109年 3月,109,2020,3.0,基隆市,男,0,999,single age
109年 3月,109,2020,3.0,基隆市,女,0,909,single age
109年 3月,109,2020,3.0,新竹市,性別總計,0,3795,single age
109年 3月,109,2020,3.0,新竹市,男,0,2018,single age
109年 3月,109,2020,3.0,新竹市,女,0,1777,single age
109年 3月,109,2020,3.0,嘉義市,性別總計,0,1575,single age
109年 3月,109,2020,3.0,嘉義市,男,0,792,single age
109年 3月,109,2020,3.0,嘉義市,女,0,783,single age
109年 3月,109,2020,3.0,金門縣,性別總計,0,1030,single age
109年 3月,109,2020,3.0,金門縣,男,0,525,single age
109年 3月,109,2020,3.0,金門縣,女,0,505,single age
109年 3月,109,2020,3.0,連江縣,性別總計,0,139,single age
109年 3月,109,2020,3.0,連江縣,男,0,70,single age
109年 3月,109,2020,3.0,連江縣,女,0,69,single age
109年 4月,109,2020,4.0,區域別總計,性別總計,0,164174,single age
109年 4月,109,2020,4.0,區域別總計,男,0,85079,single age
109年 4月,109,2020,4.0,區域別總計,女,0,79095,single age
109年 4月,109,2020,4.0,新北市,性別總計,0,26414,single age
109年 4月,109,2020,4.0,新北市,男,0,13701,single age
109年 4月,109,2020,4.0,新北市,女,0,12713,single age
109年 4月,109,2020,4.0,臺北市,性別總計,0,19496,single age
109年 4月,109,2020,4.0,臺北市,男,0,10118,single age
109年 4月,109,2020,4.0,臺北市,女,0,9378,single age
109年 4月,109,2020,4.0,桃園市,性別總計,0,20790,single age
109年 4月,109,2020,4.0,桃園市,男,0,10754,single age
109年 4月,109,2020,4.0,桃園市,女,0,10036,single age
109年 4月,109,2020,4.0,臺中市,性別總計,0,20139,single age
109年 4月,109,2020,4.0,臺中市,男,0,10439,single age
109年 4月,109,2020,4.0,臺中市,女,0,9700,single age
109年 4月,109,2020,4.0,臺南市,性別總計,0,11142,single age
109年 4月,109,2020,4.0,臺南市,男,0,5794,single age
109年 4月,109,2020,4.0,臺南市,女,0,5348,single age
109年 4月,109,2020,4.0,高雄市,性別總計,0,18244,single age
109年 4月,109,2020,4.0,高雄市,男,0,9433,single age
109年 4月,109,2020,4.0,高雄市,女,0,8811,single age
109年 4月,109,2020,4.0,宜蘭縣,性別總計,0,2848,single age
109年 4月,109,2020,4.0,宜蘭縣,男,0,1467,single age
109年 4月,109,2020,4.0,宜蘭縣,女,0,1381,single age
109年 4月,109,2020,4.0,新竹縣,性別總計,0,4390,single age
109年 4月,109,2020,4.0,新竹縣,男,0,2249,single age
