year,source_file,raw_column,inferred_age_group,sex,employed_share_percent,age_harmonization_status,label_confidence
2010,ntpc_employed_age_structure.csv,percent17,55-59,female,4.63,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent18,60-64,male,2.91,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent19,60-64,female,1.38,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent20,65+,male,1.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2010,ntpc_employed_age_structure.csv,percent21,65+,female,0.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent2,15-24,male,6.41,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent3,15-24,female,9.25,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent4,25-29,male,12.82,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent5,25-29,female,16.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent6,30-34,male,15.73,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent7,30-34,female,16.91,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent8,35-39,male,13.69,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent9,35-39,female,14.23,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent10,40-44,male,13.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent11,40-44,female,13.75,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent12,45-49,male,13.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent13,45-49,female,12.65,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent14,50-54,male,11.84,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent15,50-54,female,9.73,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent16,55-59,male,8.35,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent17,55-59,female,5.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent18,60-64,male,3.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent19,60-64,female,1.22,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent20,65+,male,0.97,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2011,ntpc_employed_age_structure.csv,percent21,65+,female,0.32,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent2,15-24,male,6.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent3,15-24,female,9.46,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent4,25-29,male,12.24,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent5,25-29,female,15.25,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent6,30-34,male,15.39,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent7,30-34,female,16.31,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent8,35-39,male,13.96,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent9,35-39,female,14.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent10,40-44,male,13.29,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent11,40-44,female,13.36,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent12,45-49,male,13.19,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent13,45-49,female,13.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent14,50-54,male,11.85,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent15,50-54,female,10.17,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent16,55-59,male,8.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent17,55-59,female,6.03,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent18,60-64,male,3.73,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent19,60-64,female,1.77,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent20,65+,male,1.05,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_employed_age_structure.csv,percent21,65+,female,0.35,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent2,15-24,male,6.81,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent3,15-24,female,9.03,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent4,25-29,male,11.83,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_employed_age_structure.csv,percent5,25-29,female,14.54,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
