candidate_name,poi_type,name,lat,lon,source
三峽北大特區,shopping,7-Eleven,24.9438163,121.3765561,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,7-Eleven,24.9417734,121.378777,https://overpass-api.de/api/interpreter
三峽北大特區,food,大埔鐵板燒,24.9439223,121.3746507,https://overpass-api.de/api/interpreter
三峽北大特區,food,韓爆全天候拉麵補給站,24.9432837,121.3734814,https://overpass-api.de/api/interpreter
三峽北大特區,food,麻古茶坊,24.9429509,121.3737653,https://overpass-api.de/api/interpreter
三峽北大特區,food,孫東寶台式牛排,24.9429702,121.3747806,https://overpass-api.de/api/interpreter
三峽北大特區,food,坐一下吧,24.9415366,121.3712516,https://overpass-api.de/api/interpreter
三峽北大特區,food,北大雞排,24.9417728,121.3732145,https://overpass-api.de/api/interpreter
三峽北大特區,food,紅塵熱炒,24.9419155,121.3731051,https://overpass-api.de/api/interpreter
三峽北大特區,food,雞舍,24.9487663,121.3753042,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,蝦皮店到店,24.9449666,121.3750809,https://overpass-api.de/api/interpreter
三峽北大特區,food,鳥鳴子雞白湯ラーメン,24.9423121,121.3735544,https://overpass-api.de/api/interpreter
三峽北大特區,food,彼內朵三峽店,24.9458428,121.3732205,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,萊爾富,24.9386911,121.3704452,https://overpass-api.de/api/interpreter
三峽北大特區,food,燕子的窩,24.9418699,121.3721571,https://overpass-api.de/api/interpreter
三峽北大特區,food,Yukimasa一碗幸福好滋味,24.9448228,121.3759617,https://overpass-api.de/api/interpreter
三峽北大特區,food,璽恩軒蔬食,24.9412343,121.3762108,https://overpass-api.de/api/interpreter
三峽北大特區,food,韓讚,24.9418365,121.3723933,https://overpass-api.de/api/interpreter
三峽北大特區,food,夯牛屋,24.9420188,121.37271,https://overpass-api.de/api/interpreter
三峽北大特區,food,半扮鍋苑,24.9419181,121.3722332,https://overpass-api.de/api/interpreter
三峽北大特區,recreation,台北大學室內滑板場,24.9447304,121.3705601,https://overpass-api.de/api/interpreter
三峽北大特區,food,波之家石鍋料理,24.9424603,121.3696326,https://overpass-api.de/api/interpreter
三峽北大特區,food,Thai Le 泰料,24.9424114,121.3695848,https://overpass-api.de/api/interpreter
三峽北大特區,food,Paper Shoot Cafe,24.9419704,121.3692262,https://overpass-api.de/api/interpreter
三峽北大特區,food,勝博殿,24.9423698,121.3747238,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,北大商場,24.9423685,121.373357,https://overpass-api.de/api/interpreter
三峽北大特區,food,龍天廚　台灣料理,24.9424346,121.373768,https://overpass-api.de/api/interpreter
三峽北大特區,food,隨緣麵食館,24.9423792,121.3739847,https://overpass-api.de/api/interpreter
三峽北大特區,food,旧池屋咖哩豬排,24.9421175,121.3735362,https://overpass-api.de/api/interpreter
三峽北大特區,food,賣烤么,24.9423403,121.3733104,https://overpass-api.de/api/interpreter
三峽北大特區,food,La Olive綠橄欖創意蔬食料理,24.9430104,121.3722723,https://overpass-api.de/api/interpreter
三峽北大特區,food,50嵐,24.9435399,121.3744656,https://overpass-api.de/api/interpreter
三峽北大特區,food,鍋媽精緻火鍋,24.943028,121.3744616,https://overpass-api.de/api/interpreter
三峽北大特區,food,大億美食,24.9429491,121.3723217,https://overpass-api.de/api/interpreter
三峽北大特區,food,珍膳美,24.9429049,121.3723505,https://overpass-api.de/api/interpreter
三峽北大特區,food,五桐號,24.9425263,121.3726339,https://overpass-api.de/api/interpreter
三峽北大特區,food,蛋白盒子,24.9424796,121.3726665,https://overpass-api.de/api/interpreter
三峽北大特區,food,赤田屋咖哩,24.9437601,121.3743105,https://overpass-api.de/api/interpreter
