city,station_uid,station_id,station_name_zh,station_name_en,lat,lon,station_address_zh,station_address_en,bikes_capacity,service_type,src_update_time,tdx_update_time,source_url
taipei,TPE500101093,500101093,YouBike2.0_大安區健康服務中心,YouBike2.0_Daan District Public Health Center,25.02146900,121.54406900,辛亥路三段15號,"No. 15, Sec. 1, Xinhai Rd.",23,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101094,500101094,YouBike2.0_辛亥泰順街口,YouBike2.0_Xinhai Taishun St. Intersection,25.02193000,121.53165000,辛亥泰順街口東南側,Xinhai Taishun St. Intersection (Southeast),20,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101095,500101095,YouBike2.0_臺北市芳和實驗中學,YouBike2.0_Taipei City FangHe Experimental High School,25.01890000,121.55013000,臥龍街170號(前),"No. 170, Wolong St.",76,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101097,500101097,YouBike2.0_臥龍樂業街口,YouBike2.0_Wolong Leye St. Intersection,25.01856000,121.55558000,臥龍街234-2號,"No. 234-2, Wolong St.",64,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101098,500101098,YouBike2.0_臥龍公園,YouBike2.0_Wolong Park,25.01623000,121.55037000,辛亥路三段223號西側,"No. 223, Sec. 3, Xinhai Rd. (West)",25,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101099,500101099,YouBike2.0_嘉興公園,YouBike2.0_Jiaxing Park,25.02100000,121.55211000,樂業街101巷3號西北側,"No. 3, Ln. 101, Leye St. (Northwest)",44,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101100,500101100,YouBike2.0_捷運麟光站(2號出口),YouBike2.0_MRT Linguang Sta. (Exit 2),25.01810000,121.55929000,和平東路三段420號東北側,"No. 420, Sec. 3, Heping E. Rd. (Northeast)",69,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101101,500101101,YouBike2.0_捷運六張犁站,YouBike2.0_MRT Liuzhangli Sta.,25.02397000,121.55266000,和平東路三段410號,"No. 410, Sec. 3, Heping E. Rd.",64,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101102,500101102,YouBike2.0_喬治工商,YouBike2.0_George Vocational High School of Taipei,25.02705000,121.55551000,基隆路二段166號,"No. 166, Sec. 2, Keelung Rd.",22,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101103,500101103,YouBike2.0_法治公園,YouBike2.0_Fazhi Park,25.02694000,121.55325000,通化街189號西側,"No. 189, Tonghua St. (West)",41,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
